ID,lat,lon
621,43.42210484,-65.67419063
622,43.38675096,-65.58304769
623,43.43069034,-65.49320606
624,43.49702527,-65.41697606
625,43.56556302,-65.34266709
626,43.62656277,-65.26220016
627,43.66989248,-65.17104547
628,43.70042606,-65.07469242
629,43.73275601,-64.97896023
630,43.7810661,-64.89034317
631,43.84304328,-64.81055752
632,43.9123221,-64.73695687
633,43.98459036,-64.66626473
634,44.05622586,-64.59493874
635,44.12233305,-64.51852212
636,44.17708426,-64.43364593
637,44.22421779,-64.34421419
638,44.27442734,-64.25651136
639,44.33545249,-64.17600487
640,44.40112301,-64.09914627
641,44.45903,-64.01645687
642,44.49017331,-63.92101093
643,44.48236725,-63.82057086
644,44.46023463,-63.72193267
645,44.44827953,-63.62182217
646,44.48684099,-63.53127486
647,44.5664765,-63.46912378
648,44.63104002,-63.39244043
649,44.66094099,-63.29629658
650,44.6696215,-63.19564748
651,44.67141872,-63.09456894
652,44.67755956,-62.99369503
653,44.69297362,-62.89381248
654,44.71546907,-62.79526473
655,44.74231977,-62.69780546
656,44.77200313,-62.60116788
657,44.80327067,-62.50502937
658,44.83495798,-62.40902794
659,44.86656001,-62.31299838
660,44.89844123,-62.21706127
661,44.93102931,-62.12136225
662,44.96474632,-62.02605559
663,45,-61.93130721
664,41.5,-69.8871642
665,41.5,-69.75140964
666,41.5,-69.61565508
667,41.5,-69.47990052
668,41.5,-69.34414596
669,41.5,-69.2083914
670,41.5,-69.07263683
671,41.5,-68.93688227
672,41.5,-68.80112771
673,41.5,-68.66537315
674,41.5,-68.52961859
675,41.5,-68.39386403
676,41.5,-68.25810947
677,41.5,-68.12235491
678,41.5,-67.98660035
679,41.5,-67.85084578
680,41.5,-67.71509122
681,41.5,-67.57933666
682,41.5,-67.4435821
683,41.5,-67.30782754
684,41.5,-67.17207298
685,41.5,-67.03631842
686,41.5,-66.90056386
687,41.5,-66.7648093
688,41.5,-66.62905473
689,41.5,-66.49330017
690,41.5,-66.35754561
691,41.5,-66.22179105
692,41.5,-66.08603649
693,41.5,-65.95028193
694,41.5,-65.81452737
695,41.5,-65.67877281
696,41.5,-65.54301824
697,41.5,-65.40726368
698,41.5,-65.27150912
699,41.5,-65.13575456
700,41.5,-65
701,39,-74.6683624
702,39,-74.54012466
703,39,-74.41188692
704,39,-74.28364918
